model_name, accuracy, precision, recall, f1
qwen2.5-14b, 0.9421514666939133, 0.9494654689659571, 0.9669683542745433, 0.9554403591943461
qwen2.5-32b, 0.9465535259641563, 0.9520347114805193, 0.9667045187367785, 0.9569051538354402
qwen2.5-72b, 0.9171295649109779, 0.9124285238167218, 0.9834062817567647, 0.9419270494090528
